Title,Timeline,Categories,Description,Link
Palestine information center,2021-,documents recent-violance,documents everything about palestine,https://mo3ta.ps/
Palestine vaillages  encyclopedia,-,documents books history,everything about the vaillages in palestine ,https://palqura.com/
Animal reserve in Palestine,2016-,environment nature,everything about the animals reserve in Palestine,https://www.mahmiyat.ps/
al nakba in history in three languages,1948,history documents,history about al nakba with documents in three languages including hebrew,https://www.zochrot.org/
Palestine Liberation Organization,-,documents news,the internationally recognized organization as the official representative of the Palestinian people,https://www.pead.ps/
Palestinian Central Bureau of Statistics,-,history statistics,all statistics about palestine and palestinians,"https://www.pcbs.gov.ps/#"
united nation in middle east,2002-,news,united nation news in the middle east including palestine,"https://news.un.org/ar/news/region/middle-east"
Palestinian Israel Territory,2011-,documents history news,Euro-Mediterranean Monitor in Israel-Palestinian Territories,https://euromedmonitor.org/ar/country/1/Israel-Palestinian-Territory
najah newsletter website,,news,website about local and international news,https://nn.najah.edu/news/Policy/
bds movement,,boycott,the official bds movement website for what to boycott in every country with alternatives,https://bdsmovement.net/get-involved/what-to-boycott
bdnaash,,boycott,search-based website to find if a product support israel or not,"https://bdnaash.com/"
qate3 ,,boycott,"a boycott website with a comprehensive list of what to boycott, why, and what are the alternatives with the ability to search and add more companies to boycott",https://www.qate3-israel.com/
boycott israel tech,,boycott,a comprehensive list of tech israeli companies to boycott,https://boycottisraelitech.com/
brands support israel,,boycott,list of brands supporting israel to boycott,"https://theislamicinformation.com/news/list-of-brands-supporting-israel/"
companies that have condemned hamas,,boycott,List of companies that have condemned hamas with links to their posts on that,https://som.yale.edu/story/2023/list-companies-have-condemned-hamas-terrorist-attack-israel
palestine solidarity campaign,,news documents history,"the official website for palestine solidarity campaign, contain news and documents and historical documents about israel's occupation violations",https://palestinecampaign.org/
Visualizing Palestine,,documents,website visualizes palestinians experiences,"https://visualizingpalestine.org/"
The Electronic Intifada,,news documents,dcouments events happening in palestine,https://electronicintifada.net/
palestine legal,,documents,document incidents of suppression of Palestinian advocators. advocate and advise individuals and groups about their rights to protect the Palestinian movement,https://palestinelegal.org/
collected resources for  Palestine ,,documents history news,Continuously Updated Masterlist of Sources on Palestine,https://heystacks.com/doc/867/palestine-a-masterlist
Resources on Palestine,,documents history,collection of resources on palestine,https://linktr.ee/palestineresources
Solidarity for Palestinian,1800-,history documents,Guide to Israeli Apartheid Week,https://docs.google.com/document/u/2/d/1rw55meTlE2p2eh1nTHvvREGHUITJoW7GuuIkgRuJyck/mobilebasic
RAWI Solidarity Statement -- for Palestine,,documents,RAWI Solidarity Statement for Palestine to end the violence,https://docs.google.com/document/d/1ES6NthIq4zq8xfekdIu3-e537UCJ7nqKY6Nk7O3LtTU/edit
Resources about palestine,,documents history news,"A list of resources about palestine such newsletters, articles, history, reports etc..",https://docs.google.com/document/d/1-Ilc3Sj2aur0BemYCzuei75tl89yziZyJPVetGySKPI/edit?pli=1
Responsible AI Community in Solidarity with Gaza,,documents,The Responsible AI Community in Solidarity with Gaza and the Palestinian People,https://docs.google.com/document/u/0/d/1SAfEjfl2KxTSdvibAs7mqPUI7WPECVUkaog3ZwV3Z1c/mobilebasic
the palestine papers,1999-2010,documents,confidential documents related to the Israeli-Palestinian conflict released by Al-Jazeera,https://www.jewishvirtuallibrary.org/the-palestine-papers
Palestinian Authority,,documents,Political informatin about palestine,https://www.jewishvirtuallibrary.org/palestinian-authority
Statistics on Palestinian minors in Israeli custody,,documents,Statistics and details about Palestinian minors in Israeli custody,https://www.btselem.org/statistics/minors_in_custody
Aljazeera news on palestine,,documents news,Aljazeera news on palestine,https://www.aljazeera.com/where/palestine/
